Year,Pounds,Value
1980,726550.0,1000982.0
1981,1262018.0,1874168.0
1982,1212312.0,1745829.0
1983,1130363.0,1611535.0
1984,1107019.0,1855602.0
1985,1255966.0,2222451.0
1986,1184296.0,2294550.0
1987,1188596.0,2521901.0
1988,1107207.0,2374737.0
1989,1219321.0,2641649.0
1990,938572.0,2121504.0
1991,1040864.0,2465742.0
1992,885346.0,2066602.0
1993,726550.0,1748667.0
1994,535018.0,1437311.0
1995,771641.0,2110244.0
1996,914236.0,2428465.0
1997,1325175.0,3263497.0
1998,1187503.0,2750941.0
1999,1314501.0,3278387.0
2000,848411.0,2445854.0
2001,895341.0,2689091.0
2002,938588.0,2839834.0
2003,823952.0,2503571.0
2004,1002962.0,3114122.0
2005,949485.0,2982900.0
2006,716713.0,2718180.0
2007,389331.0,1841262.0
2008,474469.0,2298314.0
2009,619700.0,2582255.0
2010,528853.0,2350514.0
2011,443349.0,2193911.0
2012,377855.0,1888610.0
2013,379309.0,2001530.0
2014,391608.0,2151647.0
2015,410575.0,2236282.0
2016,464823.0,2621655.0
2017,552184.0,3257056.0
2018,552570.0,3272074.0
2019,715673.0,3908342.0
2020,691024.0,3635313.0
2021,778874.0,4228724.0
2022,992108.0,5466920.0
2023,982590.0,5346612.0
2024,1014988.0,5757106.0
2025,1174330.0,6546387.0
