Year,Pounds,Value,Annual_RONI
1980,726550.0,1000982.0,0.24166666666666672
1981,1262018.0,1874168.0,-0.20833333333333337
1982,1212312.0,1745829.0,1.175
1983,1130363.0,1611535.0,0.4750000000000001
1984,1107019.0,1855602.0,-0.4416666666666667
1985,1255966.0,2222451.0,-0.4416666666666667
1986,1184296.0,2294550.0,0.39999999999999997
1987,1188596.0,2521901.0,1.2500000000000002
1988,1107207.0,2374737.0,-1.0583333333333333
1989,1219321.0,2641649.0,-0.5916666666666666
1990,938572.0,2121504.0,0.325
1991,1040864.0,2465742.0,0.8833333333333333
1992,885346.0,2066602.0,1.0
1993,726550.0,1748667.0,0.6
1994,535018.0,1437311.0,0.75
1995,771641.0,2110244.0,-0.06666666666666667
1996,914236.0,2428465.0,-0.39999999999999997
1997,1325175.0,3263497.0,1.3166666666666667
1998,1187503.0,2750941.0,-0.2583333333333334
1999,1314501.0,3278387.0,-1.1666666666666667
2000,848411.0,2445854.0,-0.7749999999999999
2001,895341.0,2689091.0,-0.26666666666666666
2002,938588.0,2839834.0,0.7083333333333334
2003,823952.0,2503571.0,0.15833333333333333
2004,1002962.0,3114122.0,0.5083333333333334
2005,949485.0,2982900.0,0.008333333333333323
2006,716713.0,2718180.0,0.05000000000000001
2007,389331.0,1841262.0,-0.6083333333333333
2008,474469.0,2298314.0,-0.7666666666666667
2009,619700.0,2582255.0,0.19166666666666665
2010,528853.0,2350514.0,-0.6416666666666666
2011,443349.0,2193911.0,-0.7916666666666666
2012,377855.0,1888610.0,-0.1666666666666667
2013,379309.0,2001530.0,-0.3833333333333333
2014,391608.0,2151647.0,0.016666666666666663
2015,410575.0,2236282.0,1.2916666666666667
2016,464823.0,2621655.0,-0.09166666666666667
2017,552184.0,3257056.0,-0.5166666666666667
2018,552570.0,3272074.0,-0.09166666666666663
2019,715673.0,3908342.0,0.26666666666666666
2020,691024.0,3635313.0,-0.7333333333333333
2021,778874.0,4228724.0,-0.8999999999999999
2022,992108.0,5466920.0,-1.1083333333333332
2023,982590.0,5346612.0,0.4583333333333333
2024,1014988.0,5757106.0,-0.2333333333333333
2025,1174330.0,6546387.0,-0.7333333333333334
